order,round,version,benchmark,seconds,output_ok,output
222,7,koka,b2,0.211426,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
223,7,koka-helper,b2,0.214304,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
224,7,rust-same-mimalloc,b2,0.262786,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
225,8,koka,b1,0.137935,True,sum 500100500000 | first 101 | last 1000100
226,8,koka,b4,0.554548,True,first 37 | last 554962791 | sum-mod 491625299
227,8,koka-box,b3,0.136555,True,first 1000000 | last 1 | weighted 166667166667000000
228,8,rust-same-mimalloc,b4,0.302826,True,first 37 | last 554962791 | sum-mod 491625299
229,8,rust-best-mimalloc,b3,0.016815,True,first 1000000 | last 1 | weighted 166667166667000000
230,8,rust-same-std,b3,0.066886,True,first 1000000 | last 1 | weighted 166667166667000000
231,8,rust-same-mimalloc,b2,0.284922,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
232,8,koka-keep,b2,0.251012,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002 | snapshot-count 500000 | snapshot-sum 249986389805
233,8,rust-same-std,b4,0.317942,True,first 37 | last 554962791 | sum-mod 491625299
234,8,koka-box,b1,0.140407,True,sum 500100500000 | first 101 | last 1000100
235,8,koka-helper,b2,0.229724,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
236,8,koka-keep,b3,0.149295,True,first 1000000 | last 1 | weighted 166667166667000000 | original-weighted 333333833333500000
237,8,rust-same-std,b1,0.177079,True,sum 500100500000 | first 101 | last 1000100
238,8,koka-box,b4,0.564388,True,first 37 | last 554962791 | sum-mod 491625299
239,8,rust-best-mimalloc,b2,0.084255,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
240,8,rust-same-mimalloc,b1,0.163568,True,sum 500100500000 | first 101 | last 1000100
241,8,koka-helper,b4,0.562587,True,first 37 | last 554962791 | sum-mod 491625299
242,8,rust-best-mimalloc,b1,0.016822,True,sum 500100500000 | first 101 | last 1000100
243,8,koka-helper,b3,0.139683,True,first 1000000 | last 1 | weighted 166667166667000000
244,8,koka,b3,0.137154,True,first 1000000 | last 1 | weighted 166667166667000000
245,8,rust-same-mimalloc,b3,0.130484,True,first 1000000 | last 1 | weighted 166667166667000000
246,8,rust-best-std,b4,0.29757,True,first 37 | last 554962791 | sum-mod 491625299
247,8,koka-keep,b4,0.565709,True,first 37 | last 554962791 | sum-mod 491625299 | original-sum 499500000
248,8,rust-best-std,b3,0.016741,True,first 1000000 | last 1 | weighted 166667166667000000
249,8,koka-box,b2,0.212493,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
250,8,koka-keep,b1,0.143231,True,sum 500100500000 | first 101 | last 1000100 | original-sum 500000500000
251,8,koka,b2,0.215589,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
252,8,rust-best-std,b2,0.086133,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
253,8,rust-best-mimalloc,b4,0.296879,True,first 37 | last 554962791 | sum-mod 491625299
254,8,rust-same-std,b2,0.278907,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
255,8,koka-helper,b1,0.137874,True,sum 500100500000 | first 101 | last 1000100
256,8,rust-best-std,b1,0.016037,True,sum 500100500000 | first 101 | last 1000100
257,9,koka-helper,b4,0.570331,True,first 37 | last 554962791 | sum-mod 491625299
258,9,rust-same-mimalloc,b1,0.163682,True,sum 500100500000 | first 101 | last 1000100
259,9,koka,b1,0.136759,True,sum 500100500000 | first 101 | last 1000100
260,9,rust-best-std,b1,0.01619,True,sum 500100500000 | first 101 | last 1000100
261,9,koka-box,b4,0.562665,True,first 37 | last 554962791 | sum-mod 491625299
262,9,rust-same-mimalloc,b4,0.305264,True,first 37 | last 554962791 | sum-mod 491625299
263,9,rust-best-mimalloc,b4,0.293477,True,first 37 | last 554962791 | sum-mod 491625299
264,9,koka-helper,b3,0.138,True,first 1000000 | last 1 | weighted 166667166667000000
265,9,rust-best-std,b3,0.016496,True,first 1000000 | last 1 | weighted 166667166667000000
266,9,rust-same-std,b3,0.066844,True,first 1000000 | last 1 | weighted 166667166667000000
267,9,rust-best-std,b2,0.086245,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
268,9,koka-box,b3,0.137892,True,first 1000000 | last 1 | weighted 166667166667000000
269,9,rust-best-std,b4,0.293982,True,first 37 | last 554962791 | sum-mod 491625299
270,9,koka,b3,0.138115,True,first 1000000 | last 1 | weighted 166667166667000000
271,9,koka-box,b1,0.138917,True,sum 500100500000 | first 101 | last 1000100
272,9,rust-same-std,b1,0.170562,True,sum 500100500000 | first 101 | last 1000100
273,9,koka-keep,b2,0.209622,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002 | snapshot-count 500000 | snapshot-sum 249986389805
274,9,koka-box,b2,0.211698,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
275,9,koka,b4,0.558162,True,first 37 | last 554962791 | sum-mod 491625299
276,9,rust-best-mimalloc,b2,0.084354,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
277,9,rust-same-std,b4,0.313088,True,first 37 | last 554962791 | sum-mod 491625299
278,9,koka-keep,b4,0.546811,True,first 37 | last 554962791 | sum-mod 491625299 | original-sum 499500000
279,9,koka-keep,b1,0.141806,True,sum 500100500000 | first 101 | last 1000100 | original-sum 500000500000
280,9,koka-keep,b3,0.143183,True,first 1000000 | last 1 | weighted 166667166667000000 | original-weighted 333333833333500000
281,9,rust-same-mimalloc,b2,0.259605,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
282,9,koka-helper,b1,0.137765,True,sum 500100500000 | first 101 | last 1000100
283,9,rust-best-mimalloc,b1,0.016181,True,sum 500100500000 | first 101 | last 1000100
284,9,koka-helper,b2,0.220417,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
285,9,rust-best-mimalloc,b3,0.017694,True,first 1000000 | last 1 | weighted 166667166667000000
286,9,koka,b2,0.225387,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
287,9,rust-same-std,b2,0.296467,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
288,9,rust-same-mimalloc,b3,0.13488,True,first 1000000 | last 1 | weighted 166667166667000000
289,10,rust-same-mimalloc,b4,0.307527,True,first 37 | last 554962791 | sum-mod 491625299
290,10,koka-helper,b4,0.537189,True,first 37 | last 554962791 | sum-mod 491625299
291,10,koka-helper,b2,0.212367,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
292,10,koka,b3,0.138056,True,first 1000000 | last 1 | weighted 166667166667000000
293,10,koka-helper,b1,0.137871,True,sum 500100500000 | first 101 | last 1000100
294,10,koka-keep,b4,0.559225,True,first 37 | last 554962791 | sum-mod 491625299 | original-sum 499500000
